2026-08-03 18:54:33,209 | INFO     | stockm.api.access | POST /predict 422 8.2ms rid=2716b963deb4
2026-08-03 18:54:33,210 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 422 Unprocessable Entity"
2026-08-03 18:54:33,219 | INFO     | stockm.api.errors | validation error: (.'.b.o.d.y.'.,. .'.s.y.m.b.o.l.s.'.): List should have at least 1 item after validation, not 0 (path=/predict/batch)
2026-08-03 18:54:33,220 | INFO     | stockm.api.access | POST /predict/batch 422 3.6ms rid=174491ac58be
2026-08-03 18:54:33,221 | INFO     | httpx | HTTP Request: POST http://testserver/predict/batch "HTTP/1.1 422 Unprocessable Entity"
2026-08-03 18:54:33,228 | INFO     | stockm.api.access | GET /health 200 2.3ms rid=06ee4f51f56b
2026-08-03 18:54:33,231 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-08-03 18:54:33,238 | INFO     | stockm.api.access | GET /health 200 1.8ms rid=abc-123
2026-08-03 18:54:33,240 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-08-03 18:54:33,246 | INFO     | stockm.api.access | GET / 200 1.9ms rid=845bdaf38567
2026-08-03 18:54:33,248 | INFO     | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-08-03 18:54:33,255 | INFO     | stockm.api.access | GET /metrics 200 2.1ms rid=ae058ba23233
2026-08-03 18:54:33,257 | INFO     | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2026-08-03 18:54:33,261 | INFO     | stockm.api.access | GET /health 200 2.0ms rid=59e48e8c5eb7
2026-08-03 18:54:33,262 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-08-03 18:54:33,267 | INFO     | stockm.api.access | GET /metrics 200 2.0ms rid=e9f5370e1a30
2026-08-03 18:54:33,268 | INFO     | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2026-08-03 18:54:33,273 | INFO     | stockm.api.access | GET /nonexistent 404 0.8ms rid=abaab840202c
2026-08-03 18:54:33,275 | INFO     | httpx | HTTP Request: GET http://testserver/nonexistent "HTTP/1.1 404 Not Found"
2026-08-03 18:54:33,277 | INFO     | stockm.api | API shutting down.
2026-08-03 18:55:16,058 | WARNING  | stockm.api.config | logging_config.yaml could not be applied (Unable to configure formatter 'json'); using stdlib fallback.
2026-08-03 18:55:16,059 | INFO     | stockm.api | API starting — env=development — loading model registry...
2026-08-03 18:55:16,125 | INFO     | stockm.api.registry | registry loaded: 50 ML symbols + 0 DL symbols
2026-08-03 18:55:16,125 | INFO     | stockm.api | model registry ready: 50 ML + DL models
2026-08-03 18:55:16,133 | INFO     | stockm.api.access | GET / 200 2.9ms rid=7ca9b7d26c54
2026-08-03 18:55:16,134 | INFO     | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-08-03 18:55:16,144 | INFO     | stockm.api.access | GET /health 200 4.9ms rid=203be619b4c7
2026-08-03 18:55:16,145 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-08-03 18:55:16,151 | INFO     | stockm.api.access | GET /version 200 1.7ms rid=cc6944cf6546
2026-08-03 18:55:16,153 | INFO     | httpx | HTTP Request: GET http://testserver/version "HTTP/1.1 200 OK"
2026-08-03 18:55:16,161 | INFO     | stockm.api.access | GET /models 200 4.1ms rid=2ee0b9eefbd7
2026-08-03 18:55:16,162 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:55:16,168 | INFO     | stockm.api.access | GET /models 200 2.6ms rid=5ce43c86ed41
2026-08-03 18:55:16,170 | INFO     | httpx | HTTP Request: GET http://testserver/models?model_type=ml "HTTP/1.1 200 OK"
2026-08-03 18:55:16,179 | INFO     | stockm.api.access | GET /models 200 3.5ms rid=ed1fee80e2d6
2026-08-03 18:55:16,181 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:55:18,978 | INFO     | stockm.models.prediction | loaded optimized model for ADANIENT.NS
2026-08-03 18:55:19,029 | WARNING  | stockm.api.errors | APIError PREDICTION_FAILED: prediction failed for ADANIENT.NS: feature_names mismatch: ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'momentum_5', 'macd', 'vma_10', 'dist_sma_50', 'bb_width', 'return_lag_20', 'obv', 'return_lag_5', 'high_low_range', 'day_of_month', 'dist_sma_5', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'return_lag_10', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20'] ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'macd', 'vma_10', 'momentum_5', 'dist_sma_50', 'return_lag_20', 'bb_width', 'return_lag_5', 'obv', 'high_low_range', 'dist_sma_5', 'day_of_month', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20', 'return_lag_10'] (path=/predict)
2026-08-03 18:55:19,031 | INFO     | stockm.api.access | POST /predict 503 2846.9ms rid=2450bd1fcfdd
2026-08-03 18:55:19,032 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 503 Service Unavailable"
2026-08-03 18:55:19,046 | INFO     | stockm.models.prediction | loaded optimized model for ADANIPORTS.NS
2026-08-03 18:55:19,082 | INFO     | stockm.api.service | predict ADANIPORTS.NS date=2026-07-03 signal=BUY ret=0.001346 latency=46.2ms
2026-08-03 18:55:19,084 | INFO     | stockm.api.access | POST /predict 200 50.1ms rid=6cf10cc070f5
2026-08-03 18:55:19,085 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 200 OK"
2026-08-03 18:55:19,099 | INFO     | stockm.models.prediction | loaded optimized model for ADANIPORTS.NS
2026-08-03 18:55:19,122 | INFO     | stockm.api.service | predict ADANIPORTS.NS date=2026-07-03 signal=BUY ret=0.001346 latency=33.8ms
2026-08-03 18:55:19,123 | INFO     | stockm.api.access | POST /predict 200 36.5ms rid=713940aacfe8
2026-08-03 18:55:19,125 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 200 OK"
2026-08-03 18:55:19,130 | INFO     | stockm.api.access | GET /models 200 2.0ms rid=a124314b496f
2026-08-03 18:55:19,132 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:55:19,145 | INFO     | stockm.models.prediction | loaded optimized model for ADANIENT.NS
2026-08-03 18:55:19,179 | WARNING  | stockm.api.errors | APIError PREDICTION_FAILED: prediction failed for ADANIENT.NS: feature_names mismatch: ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'momentum_5', 'macd', 'vma_10', 'dist_sma_50', 'bb_width', 'return_lag_20', 'obv', 'return_lag_5', 'high_low_range', 'day_of_month', 'dist_sma_5', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'return_lag_10', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20'] ['momentum_20', 'vma_20', 'momentum_10', 'volume_ratio_5', 'month_cos', 'trading_day_number', 'macd_hist', 'dist_sma_10', 'macd', 'vma_10', 'momentum_5', 'dist_sma_50', 'return_lag_20', 'bb_width', 'return_lag_5', 'obv', 'high_low_range', 'dist_sma_5', 'day_of_month', 'rsi', 'roc_10', 'open_close_diff', 'volume_ratio_10', 'atr', 'volume_lag_1', 'rolling_vol_10', 'atr_pct', 'month_sin', 'Volume', 'volume_lag_3', 'dist_sma_100', 'week', 'roc_20', 'log_return', 'volume_lag_20', 'bb_pct', 'volume_change_ratio', 'roc_5', 'volume_ratio_20', 'return_lag_10'] (path=/predict)
2026-08-03 18:55:19,180 | INFO     | stockm.api.access | POST /predict 503 46.7ms rid=3f493670004c
2026-08-03 18:55:19,181 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 503 Service Unavailable"
2026-08-03 18:55:19,239 | INFO     | stockm.models.prediction | loaded optimized model for ADANIPORTS.NS
2026-08-03 18:55:19,260 | INFO     | stockm.api.service | predict ADANIPORTS.NS date=2026-07-03 signal=BUY ret=0.001346 latency=30.9ms
2026-08-03 18:55:19,261 | INFO     | stockm.api.access | POST /predict 200 78.3ms rid=76857e3b00e3
2026-08-03 18:55:19,262 | INFO     | httpx | HTTP Request: POST http://testserver/predict "HTTP/1.1 200 OK"
